   111 -0.106600 0.046400 -0.060400 0.024437 -0.001005 -0.999701 -0.168519 -0.985693 -0.003200 -0.985395 0.168547 -0.024257 1.042354
   112 -0.106600 0.046400 -0.060400 -0.168519 -0.985693 -0.003200 -0.024437 0.001005 0.999701 -0.985395 0.168547 -0.024257 -0.000144
   113 -0.106600 0.046400 -0.060400 0.024437 -0.001005 -0.999701 -0.168519 -0.985693 -0.003200 -0.985395 0.168547 -0.024257 0.002229
   121 -0.102000 0.063100 -0.025600 0.056860 -0.010148 -0.998331 -0.220772 -0.975322 -0.002669 -0.973667 0.220554 -0.057697 1.037716
   122 -0.102000 0.063100 -0.025600 0.056860 -0.010148 -0.998331 -0.220772 -0.975322 -0.002669 -0.973667 0.220554 -0.057697 -0.007993
   123 -0.102000 0.063100 -0.025600 -0.220772 -0.975322 -0.002669 -0.056860 0.010148 0.998331 -0.973667 0.220554 -0.057697 0.001547
   131 -0.108500 0.030200 -0.026600 0.015444 0.001140 -0.999880 -0.084642 -0.996409 -0.002406 -0.996292 0.084669 -0.015292 1.002006
   132 -0.108500 0.030200 -0.026600 0.015444 0.001140 -0.999880 -0.084642 -0.996409 -0.002406 -0.996292 0.084669 -0.015292 -0.008966
   133 -0.108500 0.030200 -0.026600 -0.084642 -0.996409 -0.002406 -0.015444 -0.001140 0.999880 -0.996292 0.084669 -0.015292 0.001888
   141 -0.109900 0.013100 -0.062700 -0.028561 0.002214 -0.999590 -0.029783 -0.999555 -0.001424 -0.999148 0.029731 0.028614 0.997041
   142 -0.109900 0.013100 -0.062700 -0.029783 -0.999555 -0.001424 0.028561 -0.002214 0.999590 -0.999148 0.029731 0.028614 -0.007489
   143 -0.109900 0.013100 -0.062700 -0.028561 0.002214 -0.999590 -0.029783 -0.999555 -0.001424 -0.999148 0.029731 0.028614 -0.001313
   211 -0.107400 0.032900 0.008000 -0.053089 0.007891 -0.998559 -0.099595 -0.995025 -0.002601 -0.993611 0.099313 0.053610 0.997926
   212 -0.107400 0.032900 0.008000 -0.099595 -0.995025 -0.002601 0.053089 -0.007891 0.998559 -0.993611 0.099313 0.053610 -0.006295
   213 -0.107400 0.032900 0.008000 -0.053089 0.007891 -0.998559 -0.099595 -0.995025 -0.002601 -0.993611 0.099313 0.053610 0.000786
   221 -0.098900 0.040300 0.041300 -0.339384 0.059169 -0.938785 -0.166473 -0.986044 -0.001952 -0.925799 0.155619 0.344498 0.996393
   222 -0.098900 0.040300 0.041300 -0.339384 0.059169 -0.938785 -0.166473 -0.986044 -0.001952 -0.925799 0.155619 0.344498 -0.006173
   223 -0.098900 0.040300 0.041300 -0.166473 -0.986044 -0.001952 0.339384 -0.059169 0.938785 -0.925799 0.155619 0.344498 -0.002570
   231 -0.101100 0.004400 0.040800 -0.345900 0.008993 -0.938228 0.038941 -0.998955 -0.023924 -0.937463 -0.044811 0.345189 0.997914
   232 -0.101100 0.004400 0.040800 -0.345900 0.008993 -0.938228 0.038941 -0.998955 -0.023924 -0.937463 -0.044811 0.345189 -0.006404
   233 -0.101100 0.004400 0.040800 0.038941 -0.998955 -0.023924 0.345900 -0.008993 0.938228 -0.937463 -0.044811 0.345189 -0.000786
   241 -0.108300 -0.001100 0.007100 -0.075551 -0.011079 -0.997080 0.077877 -0.996949 0.005216 -0.994097 -0.077255 0.076183 0.994720
   242 -0.108300 -0.001100 0.007100 0.077877 -0.996949 0.005216 0.075551 0.011079 0.997080 -0.994097 -0.077255 0.076183 -0.008772
   243 -0.108300 -0.001100 0.007100 -0.075551 -0.011079 -0.997080 0.077877 -0.996949 0.005216 -0.994097 -0.077255 0.076183 0.000780
   311 -0.086100 0.098800 0.009000 -0.035226 0.118211 -0.992364 -0.490991 -0.866924 -0.085852 -0.870453 0.484217 0.088579 0.998110
